Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,21,Brazil,5511,Production,2848,Milk - Excluding Butter,2013,2013,1000 tonnes,32653,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2848,Milk - Excluding Butter,2013,2013,1000 tonnes,1032,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2848,Milk - Excluding Butter,2013,2013,1000 tonnes,143,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2848,Milk - Excluding Butter,2013,2013,1000 tonnes,33542,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2761,Freshwater Fish,2013,2013,1000 tonnes,871,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2761,Freshwater Fish,2013,2013,1000 tonnes,118,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2761,Freshwater Fish,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2761,Freshwater Fish,2013,2013,1000 tonnes,989,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2762,Demersal Fish,2013,2013,1000 tonnes,245,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2762,Demersal Fish,2013,2013,1000 tonnes,432,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2762,Demersal Fish,2013,2013,1000 tonnes,4,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2762,Demersal Fish,2013,2013,1000 tonnes,674,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2763,Pelagic Fish,2013,2013,1000 tonnes,220,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2763,Pelagic Fish,2013,2013,1000 tonnes,102,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2763,Pelagic Fish,2013,2013,1000 tonnes,31,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2763,Pelagic Fish,2013,2013,1000 tonnes,290,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2765,Crustaceans,2013,2013,1000 tonnes,142,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2765,Crustaceans,2013,2013,1000 tonnes,1,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2765,Crustaceans,2013,2013,1000 tonnes,16,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2765,Crustaceans,2013,2013,1000 tonnes,126,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5511,Production,2511,Wheat and products,2013,2013,1000 tonnes,75,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5611,Import Quantity,2511,Wheat and products,2013,2013,1000 tonnes,497,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5301,Domestic supply quantity,2511,Wheat and products,2013,2013,1000 tonnes,572,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5511,Production,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,1935,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5611,Import Quantity,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,144,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5911,Export Quantity,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5301,Domestic supply quantity,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,2168,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5511,Production,2514,Maize and products,2013,2013,1000 tonnes,2002,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5611,Import Quantity,2514,Maize and products,2013,2013,1000 tonnes,100,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5911,Export Quantity,2514,Maize and products,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5301,Domestic supply quantity,2514,Maize and products,2013,2013,1000 tonnes,2102,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5611,Import Quantity,2520,"Cereals, Other",2013,2013,1000 tonnes,1,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5911,Export Quantity,2520,"Cereals, Other",2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5301,Domestic supply quantity,2520,"Cereals, Other",2013,2013,1000 tonnes,1,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5511,Production,2531,Potatoes and products,2013,2013,1000 tonnes,1804,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5611,Import Quantity,2531,Potatoes and products,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5911,Export Quantity,2531,Potatoes and products,2013,2013,1000 tonnes,7,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5301,Domestic supply quantity,2531,Potatoes and products,2013,2013,1000 tonnes,1798,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5911,Export Quantity,2745,Honey,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5301,Domestic supply quantity,2745,Honey,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5511,Production,2546,Beans,2013,2013,1000 tonnes,310,S,Standardized data
